SYSFACNO,FACILITY_NAME,FACILITY_CATEGORY,ADDRESS1,ADDRESS2,CITY,STATE,ZIPCODE,COUNTY,EMAIL_ADDRESS,PHONE_AREA_CODE,PHONE_NUMBER,FAX_AREA_CODE,FAX_NUMBER,INACTIVE_DATE,INACTIVE_REASON,CREATE_DATE,UPDATE_DATE,NAME_OF_CONTRACTED_SHELTER,LOCALITIES_SERVED,CONTACT_NAME,TITLE
28,"Humane Society for Campbell County, Inc.",PR,P. O. Box 659,,Rustburg,VA,24588,Campbell,info@humanecampbell.org,434,821-3034,,,21-Dec-18,No longer confining/disposing animals.,1/6/05 9:05,12/21/18 17:32,,,Matt Smith,Executive Director
29,"Doberman Assistance, Rescue, & Education, Inc.",HO,PO Box 26,,Woodstock,MD,21163-9998,,darefeedback@yahoo.com,410,663-1694,,,12/13/12 20:20,12/13/12 SRH - Out of State Agency,1/6/05 9:05,12/13/12 20:20,,,,
30,Ferret Haven By -The-Sea,HO,2312 Starfish Road,#301,Virginia Beach,VA,23451,Virginia Beach City,ferret@ferrethaven.org,757,481-9604,,,14-Jan-19,Facility closed.,1/6/05 9:05,1/14/19 16:28,,,Lisa Leidig,Director
31,Pulaski County Animal Control,PU,80 Dublin Park Rd,,Dublin,VA,24084,Pulaski,,540,674-8359,540,674-1523,1/15/15 12:03,Replaced by Pulaski County animal control & pound facility -AT,1/6/05 9:05,1/15/15 12:03,,,,
32,Town of Alleghany,PU,547 Main St,,Clifton Forge,VA,24422,Alleghany,,540,863-2513,540,863-2537,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
33,King George Animal Rescue League,HO,P.O. Box 1003,,Dahlgren,VA,22448,King George,info@kgarl.org,888,542-7582,888,542-7582,,,1/6/05 9:05,1/31/19 21:14,,,Michele Shipman,Treasurer
34,Kit Kat Rescue,HO,38581 Daymont Lane,,Waterford,VA,20197,Loudoun,KitKatRescue2000@aol.com,540,882-9689,,,12/17/14 11:00,"12/17/14--all contact info out of date, no #s submitted for years -AT",1/6/05 9:05,12/17/14 11:00,,,,
35,Lost Dog & Cat Rescue Foundation,HO,P.O. Box 50037,,Arlington,VA,22205,Arlington,Marie.Murray@lostdogrescue.org,703,295-3647,,,,,1/6/05 9:05,1/21/19 12:03,,,Marie Murray,Treasurer
36,"Northcentral Maltese Rescue, Inc.",HO,39286 Buchannon Gap Road,,Aldie,VA,20105,Loudoun,,703,327-4312,,,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
37,"Patrick Animal Welfare Society, Inc.",HO,P O Box 743,,Stuart,VA,24171,Patrick,paws_pres@yahoo.com,276,694-2378,,,,,1/6/05 9:05,1/14/19 17:44,,,Murphy Brown,President
38,"Pet Harbor Rescue & Referral, Inc.",HO,P.O. Box 73,,Bowling Green,VA,22427,Caroline,info@petharbor.org,703,583-4759,,,,,1/6/05 9:05,1/5/19 22:38,,,Sarah Veach,President
39,Piedmont Feline Rescue League,HO,P.O. Box 458,,Sperryville,VA,22740,Rappahannock,,540,897-8857,,,12/12/12 17:04,12/12/12 SRH - Facility closed mid-2010,1/6/05 9:05,12/12/12 17:04,,,,
40,RAIN (Rescuing Animals In Need),HO,P.O. Box 217,,Highland Springs,VA,23075,Henrico,rescuing_animals_in_need@hotmail.com,804,747-1155,,,4/6/15 11:43,4/6/15-per rep agency is inactive -AT,1/6/05 9:05,4/6/15 11:43,,,,
41,"SADSAC (Save a Dog, Save a Cat)",HO,P.O. Box 972,,Dumfries,VA,22026,Prince William,sadsac01@yahoo.com,703,594-3324,,,,,1/6/05 9:05,1/3/19 10:14,,,Sherry Meier,President
42,Shamrock's Place,HO,P O Box 213,,Midlothian,VA,23113,Chesterfield,,804,598-8505,804,794-4140,11/27/06 16:12,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
43,"S.H.I.N.E. of Virginia, Inc. (Siberian Huskies in Need Everywhere)",HO,P.O. Box 6215,,Newport News,VA,23606,,none@example.com,757,303-1309,,,18-Dec-17,No longer in existence.,1/6/05 9:05,12/18/17 13:25,,,abc,abc
44,Tibetan Terrier Club of America Rescue,HO,P O Box 1438,,Middleburg,VA,20118,Loudoun,,703,327-6443,,,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
45,Virginia Partnership for Animal Welfare & Support,PR,P.O. Box 172,,Christiansburg,VA,24068,Montgomery,president@vapaws.org,540,494-7734,,,3/19/15 9:48,"3/19/15-no custody of animals since 2011, per rep-AT",1/6/05 9:05,3/19/15 9:48,,,,
46,Virginia Pug Rescue,HO,2920 Greenfaire Drive,,Goochland,VA,23063,Goochland,N/A,804,556-6014,,,1/17/08 22:09,No animals confined/disposed in 2006 or 2007,1/6/05 9:05,1/17/08 22:09,,,,
47,"Lab Rescue Of  L.R.C.P., Inc.",HO,118 Siege Lane,,Yorktown,VA,23692,York,3labs@cox.net,757,876-2103,,,,,1/6/05 9:05,1/28/19 20:58,,,Sterrie Weaver,"Vice President Lab Rescue of the LRCP, Inc"
48,"Metro Ferals, Inc.",HO,"4726 20th Street, North",P O Box 7138,Arlington,VA,22207,Arlington,,703,528-7782,703,528-7782,11/27/06 16:12,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
49,Potomac Valley Belgian Sheepdog Club,HO,c/o Mary Reise,11125 Mountain View Lane,Ijamsville,MD,21754,Frederick,,301,831-6137,,,12/11/12 22:53,12/11/12 SRH - Out of state agency,1/6/05 9:05,12/11/12 22:53,,,,
50,Virginia Beach SPCA,PR,3040 Holland Road,,Virginia Beach,VA,23453,Virginia Beach City,emily.olley@vbspca.com,757,427-0070,757,427-5939,,,1/6/05 9:05,1/31/19 19:13,,,Emily Olley,Lead Shelter Coordinator
51,"Boxer Rescue & Adoption, Inc.",HO,11003 Raccoon Ridge Court,,Reston,VA,20191,Fairfax,diannespessard@gmail.com,703,620-5566,,,,,1/6/05 9:05,1/31/19 11:12,,,Dianne Spessard,Executive Director
52,Rockbridge County Animal Control,AC,258 Greenhouse Rd.,,Lexington,VA,24450,Rockbridge,eshiggins@sheriff.rockbridge.virgina.gov,540,463-7329,540,463-5693,,,1/6/05 9:05,1/4/19 10:22,Rockbridge SPCA,,Deputy Eric Higgins,Deputy/ACO
53,"Beagle Rescue, Education & Welfare",HO,6716 Williams Drive,,Alexandria,VA,23307-1668,Fairfax,louranck@gmail.com,703,282-3091,703,832-8697,,,1/6/05 9:05,1/18/19 11:11,,,Mary Lou Ranck,Director
54,Campbell County Animal Control and Public Animal Shelter,PU,P.O. Box 500,322 Dennis Riddle Lane,Rustburg,VA,24588,Campbell,jbdavid@co.campbell.va.us,434,821-4416,434,332-2957,,,1/6/05 9:05,1/29/19 16:03,,no,Benny David,Animal Control Officer
55,Lunenburg County Animal Control and Public Animal Shelter,PU,11413 Courthouse  Road,,Lunenburg,VA,23952,Lunenburg,elliottr@lunenburgva.net,434,696-5529,434,696-5529,,,1/6/05 9:05,1/8/19 10:00,,,Ray Elliott,Animal Control Officer
56,Pulaski County Animal Control and Public Animal Shelter,PU,80 Dublin Park Rd,,Dublin,VA,24084,Virginia,jawebb@sheriffsoffice.org,540,6748359,540,6741523,,,1/6/05 9:05,1/28/19 15:07,,,Julie Webb,Senior ACO/Shelter Mgr.
57,Shenandoah County Animal Control and Public Animal Shelter,PU,268 Landfill Road,,Edinburg,VA,22824,Shenandoah,plahn@shenandoahcountyva.us,540,984-8955,540,984-8517,,,1/6/05 9:05,1/8/19 10:30,,,Katrina,Keywood
58,Chesterfield County Humane Society,PR,P. O. Box 2916,N/A,Chesterfield,VA,23832,Chesterfield,info@chesterfieldhumane.org,804,920-1084,,,,,1/6/05 9:05,1/27/19 21:25,,,Nancy Brown,President
59,K-9 New Life Center,HO,P.O. Box 6427,,Virginia Beach,VA,23456,,info@k9newlife.org,757,749-4109,,,,,1/6/05 9:05,1/29/19 16:50,,,Kathy Horton,President
60,"Franklin County Humane Society, Inc./Planned Pethood Clinic",PR,18401 Virgil Goode Highway,,Rocky Mount,VA,24151,VA,info@plannedpethoodrockymount.com,540,4893491,,,,,1/6/05 9:05,1/15/19 11:12,,,Franklin County Humane Society Inc.,President
61,Tidewater K-9 Academy & CARES,HO,"6029 High Street, West",,Portsmouth,VA,23703,Portsmouth City,,,,,,11/27/06 16:12,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
62,"Little Jamie Animal Haven, Inc.",HO,64 Wild Goose Lane,,Boones Mill,VA,24065,Franklin,,540,721-5079,,,11/27/06 16:12,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
63,Floyd County Humane Society,HO,P O Box 862,,Floyd,VA,24091,Floyd,floydhumane@gmail.com,540,07457207,,,,,1/6/05 9:05,1/31/19 10:37,,,Carol Y. Moates,Records Keeper
64,Amelia Patrons for Animal Welfare,PR,P O Box 725,,Amelia Court House,VA,23002,Amelia,,804,561-7252,,,5/14/07 15:46,Number disconnected,1/6/05 9:05,5/14/07 15:46,,,,
65,"Bedford Humane Society, Inc.",HO,829 Ole Turnpike Drive,,Bedford,VA,24523,Bedford,info@bhsva.org,540,586-6100,540,587-3130,,,1/6/05 9:05,1/13/19 9:16,,,Becky McCraw,Treasurer
66,"Bunny Lu Adoptions, Inc.",HO,P O Box 1036,,Manassas,VA,20110,Manassas City,,703,335-9176,703,393-7900,11/27/06 16:12,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
67,"Cat Adoption & Rescue Efforts, Inc. (CARE)",HO,P.O. Box 2934,,Henrico,VA,23228,Henrico,board@care-cats.org,804,288-9797,,,,,1/6/05 9:05,1/23/19 8:06,,,Gary Levine,Treasurer
68,"Cat Wish Foundation, The",HO,P O Box 10785,,Norfolk,VA,23513,Norfolk City,,757,285-5418,,,11/27/06 16:12,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
70,Fancy Cats Rescue Team,HO,P.O. Box 182,,Herndon,VA,20172,Fairfax,cawad@cox.net,703,961-1056,703,961-1091,,,1/6/05 9:05,1/8/19 16:27,,,Catherine Awad,Executive Director
71,"Four Paws Rescue Team (4Paws Rescue Team, Inc.)",HO,P.O. Box 2908,,Merrifield,VA,22116,Fairfax,info@fourpaws.org,703,715-6369,703,560-9795,,,1/6/05 9:05,1/11/19 18:19,,,Pamela Lopez,Secretary
72,Free Spirit Equine Rescue Shelter,HO,P.O. Box 4940,,Midlothian,VA,23112,Chesterfield,,804,639-1423,,,12/7/10 14:11,"12/7/10 SRH, No info - Cannot confirm that facility exists",1/6/05 9:05,12/7/10 14:11,,,,
73,FURS,HO,"3420 Pump Road, #228",,Richmond,VA,23233,Richmond,info@fursdogs.com,404,364-1944,804,897-9246,,,1/6/05 9:05,1/31/19 21:29,,,Claire Pollard,president
74,"Golden Retriever Rescue, Education, and Training (GRREAT)",HO,P.O. Box 190,,Merrifield,VA,22116,,adoptions@grreat.org,703,620-6593,866,376-5080,,,1/6/05 9:05,1/25/19 16:10,,,Jessie Pickard,Adoption Coordinator
75,ASC Rescue,HO,804 Burgess Court,,Woodstock,VA,22664,Shenandoah,,540,459-3912,,,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
76,Mid-Atlantic Great Dane Rescue League,HO,PO Box 1647,,Manassas,VA,20108,Prince William,Coordinators@va-magdrl.org,571,310-1380,703,232-1099,,,1/6/05 9:05,1/25/19 10:21,,,Kristen Hill,Virginia Coordinator
77,Pet Assistance League,HO,P.O. Box 1076,,Stafford,VA,22555,Stafford,Jfroelich@pwcgov.org,540,659-5018,,,,,1/6/05 9:05,1/31/19 16:53,,,Jane Froelich,President
78,Border Collie Rescue,HO,P. O. Box 173,,Woodstock,VA,22644,Shenandoah,,,,,,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
79,Lexington Animal Control,AC,11 Fuller St.,,Lexington,VA,24450,,ldreelin@lexingtonva.gov,540,462-3705,540,463-9257,,,1/6/05 9:05,1/4/19 11:41,Rockbridge SPCA,,Loran Dreelin,Special Enforcement Officer
80,Vinton Animal Control (Town),AC,311 South Pollard Street,,Vinton,VA,24179,Roanoke,fdrumond@vintonva.gov,540,983-0617,540,983-0624,,,1/6/05 9:05,1/18/19 12:11,Regional Care for Animal Care and Protection,,Fabricio Drumond,Deputy Chief
81,Animal Allies,HO,P.O. Box 7040,,Fairfax Station,VA,22039-7040,Fairfax,cfabfourfan@aol.com,703,940-9183,,,,,1/6/05 9:05,1/28/19 15:37,,,Dorothy M Lipka,Treasurer
82,"Basset Rescue of Old Dominion, Inc.",HO,3445 Seminole Trail,Box 248,Charlottesville,VA,22911,VA,brood@brood-va.org,434,9759915,434,9759915,,,1/6/05 9:05,1/12/19 16:32,,,Melinda Brown,Treasurer
83,Companion Animal Rescue Effort,HO,P. O. Box 1024,,Orange,VA,22960,Orange,Klawfarm@gmail.com,540,832-3727,,,,,1/6/05 9:05,1/6/19 16:08,,,Karl L. Santone,Secretary/Treasurer
84,"FERAL, Inc.",HO,PO Box 21011,,Roanoke,VA,24018,Roanoke,lisa.125@cox.net,540,989-7578,,,,,1/6/05 9:05,1/31/19 9:19,,,Thelma Marienfeldt,Director
85,Giles County SPCA,PR,240 Meadows Road,,Pearisburg,VA,24134,Giles,,540,921-3512,,,12/31/07 16:33,No longer in existence,1/6/05 9:05,12/31/07 16:33,,,,
86,Highland County SPCA,HO,P.O. Box 6,,Monterey,VA,24465,Highland,highlandvirginiaspca@yahoo.com,540,468-3405,,,3/30/16 10:56,DOES NOT RELEASE ANIMALS AS OF 2012 PER REP-AT 3/30/16,1/6/05 9:05,3/30/16 10:56,,,,
87,"K-9 Rescue, Inc.",HO,17 West Main Street,,Salem,VA,24153,Salem City,,540,342-3466,,,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
88,League for Animal Protection,PR,P.O. Box 561,603 Poor Farm Road,Fincastle,VA,24090,Botetourt,lapinformation@aol.com,540,473-3853,,,,,1/6/05 9:05,1/6/19 16:28,,,pat shaver,shelter director
89,Madison-Greene Humane Society,PR,P.O. Box 95,,Ruckersville,VA,22968,Greene,madisongreenehumanesociety@gmail.com,434,985-3203,,,,,1/6/05 9:05,2/5/19 17:33,,,Dr. John Hayes,Acting Director
90,Middleburg Humane Foundation,PR,P. O. Box 1238,4904 Whiting Road (Marshall),Middleburg,VA,20118,Fauquier,admin@middleburghumane.com,540,364-3272,540,364-3405,,,1/6/05 9:05,1/28/19 12:36,,,Michaela Wilkerson ,Veterinary Technician 
91,Rappahannock Animal Welfare League,PU,160 Weaver Road,PO Box 396,Amissville,VA,20106,Rappahannock,patriciawant@aol.com,540,937-3283,,,,,1/6/05 9:05,1/24/19 10:41,,Rappahannock County,Patricia Want,Executive Director
92,Virginia Siamese Cat Rescue Center,HO,1025 Meander Run,,Locust Dale,VA,22948,Madison,,540,672-6373,540,672-7066,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
93,"United Poultry Concerns, Inc.",HO,P. O. Box 150,12325 Seaside Road,Machipongo,VA,23405,NorthHampton,info@UPC-online.org,757,678-7875,,,,,1/6/05 9:05,1/31/19 9:05,,,Deborah A Prue,Secretary/Treasurer
94,VCA Highlands Adoption Center,PR,VCA Highlands Animal Hospital,25011 Lee Highway,Abingdon,VA,24211,Washington,lisa.blevins@vcamail.com,276,628-4115,,,3/15/07 11:12,Closed 12/31/2005,1/6/05 9:05,3/15/07 11:12,,,,
95,Chesapeake Area Alaskan Malamute Protection,HO,11315 Query Mill Road,,North Potomac,MD,20878-3932,Montgomery,malamuterescue@gmail.com,301,330-4181,,,12/3/07 13:56,"Out-of-State Facility, no VA chapter/facility",1/6/05 9:05,12/3/07 13:56,,,,
96,Animal Adoption & Rescue Foundation (AARF),HO,P.O. Box 15262,,Richmond,VA,23227,,aarfva@hotmail.com,804,262-4065,804,270-1268,,,1/6/05 9:05,1/6/19 22:43,,,Sharon Malechek,Recording Secretary
97,Hanover Humane Society,PR,P. O. Box 1011,,Ashland,VA,23005,Hanover,info@hanoverhumanesociety.org,804,798-8248,804,798-8251,,,1/6/05 9:05,1/28/19 14:43,,,Lynn Pulley-Paine,Adoptions Chair
98,"Albert Foundation, The",HO,P. O. Box 19683,,Alexandria,VA,22320,Fairfax,,703,920-7404,,,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,6/7/06 8:57,,,,
99,Charlotte County Animal Control and Public Animal Shelter,PU,632 Dogwood Road,P.O. Box 608,Charlotte CourtHouse,VA,23923,Charlotte,jpshook@charlotteva.com,434,542-5117,434,542-5248,,,1/6/05 9:05,1/30/19 9:57,,,Glenn Johnson,manager
100,Giles County Animal Control and Public Animal Shelter,PU,678 Green Hollow Rd,,Pearisburg,VA,24134,Giles,mbray@gilescounty.org,540,921-2053,540,921-1329,,,1/6/05 9:05,1/25/19 15:47,,,Missy Bray,Executive Assistant
101,Washington County Animal Control and Public Animal Shelter,PU,27252 Porter Lane,,Abingdon,VA,24211,Washington,jalexander@washso.org,276,676-6210,276,676-6308,,,1/6/05 9:05,2/4/19 15:55,,,Teresa Price,Supervisor
103,"Humane Society of Caroline County, Inc.",HO,P.O. Box 75,,Ruther Glen,VA,22546,Caroline,treasurer.hscc@gmail.com,804,867-7534,,,,,1/6/05 9:05,2/4/19 11:24,,,Tina Perry,Treasurer/Secretary
104,Indian Rivers Humane Society,HO,P. O. Box 264,,Aylett,VA,23009,King William,indianrivershumane@yahoo.com,804,885-3109,,],,,1/6/05 9:05,1/31/19 10:18,,,Anne Mason,Past-President
105,"Eastern Shore Regional Animal Control Facility (Accomack, Northampton)",PU,28167 Beacon Road,,Melfa,VA,23410,Accomack,ESAnimalcontrol@outlook.com,757,787-7091,757,787-8367,,,1/6/05 9:05,1/30/19 9:40,,"Accomack County, Northampton County",Stacey Clark,Facility Manager
106,Buckingham County Animal Control and Public Animal Shelter,PU,P.O. Box 252,,Buckingham,VA,23921,Buckingham,aco@buckinghamcounty.virginia.gov,434,969-4242,434,969-1638,,,1/6/05 9:05,1/31/19 10:51,,,Daniel Shumaker,ACO 1
107,Nottoway County Animal Control and Public Animal Shelter,PU,P.O. Box 92,"349 Livestock Rd Blackstone, VA.",Nottoway,VA,23955,Nottoway,nottoway@nottoway.org,434,645-8696,434,645-8667,,,1/6/05 9:05,1/9/19 8:07,,,Ronald E. Roark,County Administrator
108,Big Stone Gap Animal Control (Town),PU,505 East 5th St.,,Big Stone Gap,VA,24219,Wise,thill@bigstonegap.org,276,523-0117,276,523-2794,7-Mar-17,does not take custody of animals per ACO,1/6/05 9:05,3/7/17 13:04,,,Corporal Hill,Animal Control Officer
109,Roanoke Valley SPCA,PR,1340 Baldwin Ave NE,,Roanoke,VA,24012,,mail@rvspca.org,540,339-9247,540,342-6730,,,1/6/05 9:05,1/26/19 12:00,,,Denise Hayes,CEO
110,Rockbridge SPCA (Contracted Public Animal Shelter),PU,P.O. Box 528,(10 Animal Place),Lexington,VA,24450,Rockbridge,manager@rockbridgespca.net,540,463-5123,540,464-8847,,,1/6/05 9:05,1/4/19 9:11,,"Rockbridge County, City of Lexington, City of Buena Vista",Karen Beard ,Manager
111,Rockingham-Harrisonburg SPCA (Contracted Public Animal Shelter),PU,P. O. Box 413,,Harrisonburg,VA,22803,Rockingham,info@rhspca.org,540,434-5270,540,432-9509,,,1/6/05 9:05,1/29/19 14:53,,"Rockingham County, City of Harrisonburg",Maggie Rucker,Shelter Manager
112,Save Our Shelters,HO,P.O. Box 27142,,Richmond,VA,23261,Richmond City,,804,358-7499,804,355-2979,11/27/06 16:12,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
113,Second Chance Animal Shelter,PR,2840 Maidens Road,P. O. Box 55,Powhatan,VA,23139,Powhatan,rmcmomno8@comcast.net,804,598-2100,,,2/18/10 11:12,No longer in operation - SRH 2/18/10,1/6/05 9:05,2/18/10 11:16,,,,
114,"Shenandoah County Humane Society, Inc.",PR,341 Landfill Road,,Edinburg,VA,22824,Shenandoah,,540,984-8955,,,11/27/06 16:12,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
115,"Shiloh Project, The",HO,4427 Shirley Gate Rd.,,Fairfax,VA,22030,Fairfax,shilohproject@me.com,703,273-4056,703,591-1556,1/30/12 16:25,Notified by Nancy Katz (Director) - 1/30/12 SRH,1/6/05 9:05,1/30/12 16:25,,,,
116,"Somebuddies, Inc.",HO,P.O. Box 1532,,Mechanicsville,VA,23116,Hanover,CATFIX@AOL.COM,804,559-6170,,,,,1/6/05 9:05,1/1/19 13:12,,,Susan Lumpkin,Director
117,Southside SPCA - Lunenburg Animal Shelter,PR,848 Free State Road,P.O. Box 66,Meherrin,VA,23954,Lunenburg,info@southsidespca.org,434,736-9595,434,736-8299,,,1/6/05 9:05,1/13/19 7:40,,,sandy wyatt,director
118,St. Francis Humane Association,HO,P.O. Box 73622,,Richmond,VA,23235,Chesterfield,webmaster@stfrancisha.org,804,598-6636,,,,,1/6/05 9:05,1/31/19 18:07,,,Marsha White,President
119,Humane Society of Warren County (Contracted Public Animal Shelter),PU,1245 Progress Drive,,Front Royal,VA,22630,Warren,info@humanesocietywarrencounty.org,540,635-4734,540,635-0262,,,1/6/05 9:05,1/8/19 14:08,,Warren County,Meghan Bowers,Exectutive Director
120,"SPCA of Winchester, Frederick, & Clarke (Contracted Public Animal Shelter)",PU,115 Featherbed Lane,,Winchester,VA,22601,,director@winchesterspca.org,540,662-8616,540,662-8644,,,1/6/05 9:05,1/23/19 8:56,,"Frederick County, Clarke County, City of Winchester",Lavenda Denney ,Executive Director
